"BehaviorSpace results (NetLogo 5.2.0)"
"priority_queue_them_park.nlogo"
"wait-time-normal-q"
"12/19/2015 22:56:20:254 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-persons","[step]","(sum [waiting-time] of visitors) / ((count visitors with [queueing?]) + 1)"
"1","1","95","0"
"2","50","121","24.25"
"1","1","96","0"
"2","50","122","27.806451612903224"
"1","1","97","0"
"2","50","123","27.09090909090909"
"1","1","98","0"
"1","1","99","0"
"3","300","17","7.877551020408164"
"2","50","124","25.805555555555557"
"1","1","100","0"
"1","1","101","0"
"2","50","125","28.24137931034483"
"1","1","102","0"
"1","1","103","0"
"2","50","126","25.78787878787879"
"1","1","104","0"
"1","1","105","0"
"2","50","127","25.285714285714285"
"1","1","106","0"
"2","50","128","32.148148148148145"
"1","1","107","0"
"1","1","108","0"
"2","50","129","29.9"
"1","1","109","0"
"1","1","110","0"
"2","50","130","25.216216216216218"
"1","1","111","0"
"3","300","18","8.278301886792454"
"2","50","131","29.928571428571427"
"1","1","112","0"
"1","1","113","0"
"2","50","132","26.363636363636363"
"1","1","114","0"
"2","50","133","24.486486486486488"
"1","1","115","0"
"1","1","116","0"
"3","300","19","8.65938864628821"
"2","50","134","24.875"
"1","1","117","0"
"1","1","118","0"
"2","50","135","24.38235294117647"
"1","1","119","0"
"1","1","120","0"
"2","50","136","22.789473684210527"
"1","1","121","0.5"
"1","1","122","0"
"2","50","137","27.821428571428573"
"1","1","123","0"
"1","1","124","0"
"2","50","138","24.575757575757574"
"1","1","125","0"
"1","1","126","0"
"2","50","139","20.75609756097561"
"1","1","127","0"
"1","1","128","0"
"3","300","20","9.413793103448276"
"2","50","140","23.545454545454547"
"1","1","129","0"
"1","1","130","0"
"2","50","141","23.823529411764707"
"1","1","131","0"
"1","1","132","0.5"
"1","1","133","1"
"2","50","142","22.864864864864863"
"1","1","134","0"
"1","1","135","0"
"2","50","143","27.689655172413794"
"1","1","136","0"
"2","50","144","28.655172413793103"
"1","1","137","0"
"1","1","138","0"
"2","50","145","24.714285714285715"
"1","1","139","0"
"1","1","140","0"
"2","50","146","30.791666666666668"
"1","1","141","0"
"1","1","142","0"
"2","50","147","26.448275862068964"
"1","1","143","0"
"1","1","144","0"
"2","50","148","24.21212121212121"
"1","1","145","0"
"1","1","146","0"
"2","50","149","23.20689655172414"
"1","1","147","0"
"1","1","148","0"
"2","50","150","23.4"
"1","1","149","0"
"1","1","150","0"
"2","50","151","21.02857142857143"
"1","1","151","0"
"3","300","21","9.842592592592593"
"1","1","152","0"
"1","1","153","0"
"2","50","152","26.6"
"1","1","154","0"
"2","50","153","23.896551724137932"
"1","1","155","0"
"2","50","154","21.96969696969697"
"1","1","156","0"
"2","50","155","24.071428571428573"
"1","1","157","0"
"1","1","158","0"
"2","50","156","24.20689655172414"
"1","1","159","0"
"1","1","160","0"
"2","50","157","22.242424242424242"
"1","1","161","0"
"1","1","162","0"
"2","50","158","20.24137931034483"
"1","1","163","0"
"1","1","164","0"
"2","50","159","19.903225806451612"
"1","1","165","0"
"3","300","22","10.081196581196581"
"1","1","166","0"
"2","50","160","17.64864864864865"
"1","1","167","0"
"1","1","168","0"
"2","50","161","20.689655172413794"
"1","1","169","0.5"
"1","1","170","0"
"2","50","162","20.322580645161292"
"1","1","171","0"
"1","1","172","0"
"1","1","173","0"
"2","50","163","19.5"
"1","1","174","0"
"1","1","175","0.5"
"1","1","176","0"
"2","50","164","23.814814814814813"
"1","1","177","0"
"1","1","178","0"
"2","50","165","21.0625"
"1","1","179","0"
"1","1","180","0"
"2","50","166","18.256410256410255"
"1","1","181","0"
"1","1","182","0"
"2","50","167","23.482758620689655"
"1","1","183","0"
"2","50","168","22.93548387096774"
"1","1","184","0"
"2","50","169","22.515151515151516"
"3","300","23","10.493087557603687"
"2","50","170","26.185185185185187"
"2","50","171","24.533333333333335"
"3","300","24","10.982456140350877"
"2","50","172","23.272727272727273"
"2","50","173","27.74074074074074"
"2","50","174","27.714285714285715"
"2","50","175","25.21875"
"3","300","25","11.133603238866396"
"2","50","176","31.307692307692307"
"2","50","177","28.1"
"2","50","178","24.38888888888889"
"2","50","179","27.5"
"2","50","180","27.636363636363637"
"2","50","181","26.305555555555557"
"1","1","185","0"
"2","50","182","33.03846153846154"
"1","1","186","0"
"1","1","187","0"
"2","50","183","31.642857142857142"
"1","1","188","0"
"1","1","189","0"
"2","50","184","29.548387096774192"
"1","1","190","0"
"1","1","191","0"
"2","50","185","32.172413793103445"
"1","1","192","0"
"1","1","193","0"
"1","1","194","0"
"2","50","186","28.41176470588235"
"1","1","195","0.5"
"1","1","196","1"
"2","50","187","26.394736842105264"
"1","1","197","0"
"1","1","198","0"
"3","300","26","11.374468085106383"
"2","50","188","33.285714285714285"
"1","1","199","0.5"
"1","1","200","0"
"2","50","189","33.10344827586207"
"1","1","201","0"
"1","1","202","0.5"
"2","50","190","30.060606060606062"
"1","1","203","0"
"1","1","204","0"
"2","50","191","39.04"
"1","1","205","0"
"1","1","206","0"
"2","50","192","34.62068965517241"
"1","1","207","0"
"1","1","208","0.5"
"1","1","209","0"
"2","50","193","31.393939393939394"
"1","1","210","0"
"1","1","211","0.5"
"1","1","212","0"
"2","50","194","35.107142857142854"
"1","1","213","0"
"1","1","214","0"
"2","50","195","33.733333333333334"
"1","1","215","0"
"1","1","216","0"
"2","50","196","30.735294117647058"
"1","1","217","0.5"
"1","1","218","0"
"2","50","197","35.689655172413794"
