"BehaviorSpace results (NetLogo 5.2.0)"
"priority_queue_them_park.nlogo"
"wait-time-normal-q"
"12/19/2015 21:33:49:638 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","2","3"
"number-persons","1","50","300"
"[reporter]","(sum [waiting-time] of visitors) / ((count visitors with [queueing?]) + 1)","(sum [waiting-time] of visitors) / ((count visitors with [queueing?]) + 1)","(sum [waiting-time] of visitors) / ((count visitors with [queueing?]) + 1)"
"[final]","0","22.583333333333332","200.76785714285714"
"[min]","0","0","0"
"[max]","1","93.03225806451613","211.65248226950354"
"[mean]","0.1372875708097301","36.579514282957724","148.17775278955483"
"[steps]","3000","3000","3000"

"[all run data]","(sum [waiting-time] of visitors) / ((count visitors with [queueing?]) + 1)","(sum [waiting-time] of visitors) / ((count visitors with [queueing?]) + 1)","(sum [waiting-time] of visitors) / ((count visitors with [queueing?]) + 1)"
,"0","0","0"
,"0","0","0"
,"0","0","0"
,"0","0.9444444444444444","0.9873417721518988"
,"0","1.6956521739130435","1.6209677419354838"
,"0","2.1666666666666665","2.1772151898734178"
,"0","2.7","2.9055555555555554"
,"0","3.1052631578947367","3.3619909502262444"
,"0","3.6470588235294117","4.146118721461187"
,"0","4.514285714285714","4.717213114754099"
,"0","4.829268292682927","5.323308270676692"
,"0","5.257142857142857","6.100386100386101"
,"0","6.083333333333333","6.981060606060606"
,"0","5.541666666666667","7.531914893617022"
,"0","6.837837837837838","8.383763837638377"
,"0.5","7.461538461538462","9.349264705882353"
,"1","7.170212765957447","9.919298245614035"
,"0","8.416666666666666","10.701818181818181"
,"0","9.38888888888889","11.582733812949641"
,"0","8.020833333333334","12.21602787456446"
,"0","9.805555555555555","13.06159420289855"
,"0","10.513513513513514","13.964028776978417"
,"0.5","9.25531914893617","14.429065743944637"
,"0","11.378378378378379","15.38768115942029"
,"0","11.76923076923077","16.27338129496403"
,"0","11.177777777777777","16.70486111111111"
,"0","12.777777777777779","17.42293906810036"
,"0.5","13.405405405405405","18.23404255319149"
,"1","12","18.546075085324233"
,"0","14.970588235294118","19.526690391459073"
,"0","15.514285714285714","20.45390070921986"
,"0.5","13.604651162790697","20.81786941580756"
,"0","15.371428571428572","22.083941605839417"
,"0","14.76923076923077","22.84115523465704"
,"0.5","13.777777777777779","22.738831615120276"
,"0","16.514285714285716","23.491103202846976"
,"0","16.18421052631579","24.404255319148938"
,"0.5","14.063829787234043","24.484641638225256"
,"0","17.416666666666668","25.414285714285715"
,"0","18.38888888888889","26.320284697508896"
,"0","15.369565217391305","26.5"
,"0","18.256410256410255","27.28673835125448"
,"0","18.775","28.08896797153025"
,"0.5","18.045454545454547","27.935153583617748"
,"0","21.555555555555557","28.964412811387902"
,"0","20.871794871794872","29.756183745583037"
,"0","18.29787234042553","29.25503355704698"
