"BehaviorSpace results (NetLogo 5.2.0)"
"priority_queue_them_park.nlogo"
"wait-time-normal-q"
"12/19/2015 22:56:28:295 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","2","3"
"number-persons","1","50","300"
"[reporter]","(sum [waiting-time] of visitors) / ((count visitors with [queueing?]) + 1)","(sum [waiting-time] of visitors) / ((count visitors with [queueing?]) + 1)","(sum [waiting-time] of visitors) / ((count visitors with [queueing?]) + 1)"
"[final]","0","38.857142857142854","272.2089552238806"
"[min]","0","0","0"
"[max]","1","81.41666666666667","299.3433962264151"
"[mean]","0.08908218356328734","31.973930467392282","188.7945153566922"
"[steps]","5000","5000","5000"

"[all run data]","(sum [waiting-time] of visitors) / ((count visitors with [queueing?]) + 1)","(sum [waiting-time] of visitors) / ((count visitors with [queueing?]) + 1)","(sum [waiting-time] of visitors) / ((count visitors with [queueing?]) + 1)"
,"0","0","0"
,"0","0","0"
,"0","0","0"
,"0","0.9230769230769231","0.9814814814814815"
,"0","1.5","1.5252525252525253"
,"0","1.5","1.9898989898989898"
,"0","2","2.568"
,"0.5","1.9130434782608696","2.96319018404908"
,"0","1.7777777777777777","3.4357142857142855"
,"0","2.0714285714285716","3.8402366863905324"
,"0.5","2.217391304347826","4.115384615384615"
,"0","2.2142857142857144","4.685393258426966"
,"0","2.6666666666666665","5.228426395939087"
,"0","2.6206896551724137","5.573333333333333"
,"0","3.1052631578947367","6.420765027322404"
,"0","3.5217391304347827","6.959390862944162"
,"0.5","3.5806451612903225","7.284403669724771"
,"0","4.428571428571429","7.877551020408164"
,"0","4.68","8.278301886792454"
,"0","4.741935483870968","8.65938864628821"
,"0","5.956521739130435","9.413793103448276"
,"0","5.121212121212121","9.842592592592593"
,"0","5.54054054054054","10.081196581196581"
,"0","6.758620689655173","10.493087557603687"
,"0","7.09375","10.982456140350877"
,"0","7.457142857142857","11.133603238866396"
,"0","8.24","11.374468085106383"
,"0.5","8.068965517241379","12.08713692946058"
,"1","7.852941176470588","12.648"
,"0","8.74074074074074","12.995726495726496"
,"0","9.10344827586207","13.561983471074381"
,"0","8.305555555555555","13.766536964980546"
,"0","9.9","14.415254237288135"
,"0","10.866666666666667","14.938524590163935"
,"0.5","10.558823529411764","15.178988326848248"
,"0","10.96","15.495798319327731"
,"0","10.413793103448276","15.987804878048781"
,"0","10.121212121212121","16.24031007751938"
,"0","11.413793103448276","16.551867219917014"
,"0","11.3125","16.952"
,"0","11.617647058823529","17.35907335907336"
,"0","13.107142857142858","17.86008230452675"
,"0","12.806451612903226","18.150197628458496"
,"0","12.647058823529411","18.657692307692308"
,"0","13.67741935483871","18.764462809917354"
,"0","14.21875","19.16"
,"0","14.757575757575758","19.49034749034749"
,"0","15.964285714285714","20.411522633744855"
,"0","14.9375","21.076923076923077"
