"BehaviorSpace results (NetLogo 5.2.0)"
"priority_queue_them_park.nlogo"
"globals-waiting-time / globals-numbers-playing"
"12/20/2015 00:07:17:503 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","2","3","4","5","6","7","8","9"
"number-persons","1","1","1","50","50","50","300","300","300"
"capacity-of-priority-queue","1","1","50","1","1","50","1","1","50"
"[reporter]","globals-waiting-time / globals-numbers-playing","globals-waiting-time / globals-numbers-playing","globals-waiting-time / globals-numbers-playing","globals-waiting-time / globals-numbers-playing","globals-waiting-time / globals-numbers-playing","globals-waiting-time / globals-numbers-playing","globals-waiting-time / globals-numbers-playing","globals-waiting-time / globals-numbers-playing","globals-waiting-time / globals-numbers-playing"
"[final]","0","0","0","0","0","0","0","0","0"
"[min]","0","0","0","0","0","0","0","0","0"
"[max]","1","1","1","26.88888888888889","31.555555555555557","36.833333333333336","227.88888888888889","227.05555555555554","232.77777777777777"
"[mean]","0.06940278610944475","0.07398520295940803","0.06973605278944209","1.7075850220284587","1.694626934308995","1.6529707628533594","14.205875491568358","14.323163145148708","13.996654829440722"
"[steps]","5000","5000","5000","5000","5000","5000","5000","5000","5000"

"[all run data]","globals-waiting-time / globals-numbers-playing","globals-waiting-time / globals-numbers-playing","globals-waiting-time / globals-numbers-playing","globals-waiting-time / globals-numbers-playing","globals-waiting-time / globals-numbers-playing","globals-waiting-time / globals-numbers-playing","globals-waiting-time / globals-numbers-playing","globals-waiting-time / globals-numbers-playing","globals-waiting-time / globals-numbers-playing"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0.3333333333333333","0.5","0.5","0.25","0.25","0.51"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","2.090909090909091","1.9090909090909092","1.0714285714285714","2.3333333333333335","2.5","1.236024844720497"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0.5","1","0.5","2.75","2.5384615384615383","0.6666666666666666","4.555555555555555","4.388888888888889","1.4065934065934067"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0.5","0.5","0","2.923076923076923","2.4285714285714284","0.7755102040816326","4.888888888888889","6.111111111111111","1.7621145374449338"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0.3333333333333333","0.5","0","5.833333333333333","1.5333333333333334","0.7704918032786885","7","7.277777777777778","1.7583333333333333"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","2.8666666666666667","3.4285714285714284","0.7547169811320755","9.555555555555555","9.666666666666666","1.718487394957983"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0.3333333333333333","2.8125","3.0625","1.088235294117647","11.666666666666666","9.777777777777779","1.7962264150943397"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","2.3125","2.8666666666666667","1.1296296296296295","9.11111111111111","10.333333333333334","1.5056179775280898"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0.3333333333333333","5.1875","4.785714285714286","0.9111111111111111","11.38888888888889","12.61111111111111","1.4015151515151516"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0","1","0","6.333333333333333","4.866666666666666","1.0363636363636364","13.38888888888889","12.5","1.2793103448275862"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0","0.5","0.5","4","4.0625","0.7321428571428571","15.166666666666666","16.444444444444443","1.4436363636363636"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"1","0","0.25","4.411764705882353","7.125","0.7307692307692307","13.5","19.055555555555557","1.3759124087591241"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0","0.3333333333333333","0.5","2.3333333333333335","4.823529411764706","0.9848484848484849","15.166666666666666","15.777777777777779","1.301948051948052"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0","0.5","0.25","3.411764705882353","3.0588235294117645","0.796875","17.61111111111111","18.72222222222222","1.1172638436482085"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","7.444444444444445","3.388888888888889","0.9152542372881356","14.666666666666666","16.88888888888889","1.2333333333333334"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0.3333333333333333","4.388888888888889","6.352941176470588","0.819672131147541","17.72222222222222","21.88888888888889","1.183673469387755"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","1.8888888888888888","1.3333333333333333","0.7619047619047619","16.555555555555557","17.166666666666668","1.2348993288590604"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0","0","1","2.7777777777777777","2.888888888888889","1.0461538461538462","18","14.666666666666666","1.1578947368421053"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0","0.5","0.5","3.588235294117647","2.764705882352941","0.8","13.88888888888889","18.27777777777778","1.353135313531353"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0","0.5","0","4.888888888888889","3.3529411764705883","0.6716417910447762","18.333333333333332","17.444444444444443","1.119718309859155"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0"
,"0","0","0.25","2.3333333333333335","2.3333333333333335","0.6666666666666666","20.055555555555557","26.5","1.195729537366548"
,"0","0","0","0","0","0","0","0","0"
