"BehaviorSpace results (NetLogo 5.2.0)"
"priority_queue_them_park.nlogo"
"globals-waiting-time / globals-numbers-playing"
"12/19/2015 23:29:38:080 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
,"0.5","1.8888888888888888","26.27777777777778"
,"0","0","0"
,"0","0","0"
,"0","2.8333333333333335","25.833333333333332"
,"0","0","0"
,"0","0","0"
,"0","11.277777777777779","22.666666666666668"
,"0","0","0"
,"0","0","0"
,"0","1.7222222222222223","18.5"
,"0","0","0"
,"0","0","0"
,"0","2.611111111111111","22.38888888888889"
,"0","0","0"
,"0","0","0"
,"0","5.333333333333333","22.77777777777778"
,"0","0","0"
,"0","0","0"
,"0","6.444444444444445","25.333333333333332"
,"0","0","0"
,"0","0","0"
,"0.5","4.833333333333333","14.88888888888889"
,"0","0","0"
,"0","0","0"
,"0.5","2.888888888888889","21.11111111111111"
,"0","0","0"
,"0","0","0"
,"0.3333333333333333","2.9444444444444446","30.22222222222222"
,"0","0","0"
,"0","0","0"
,"0","6.833333333333333","27"
,"0","0","0"
,"0","0","0"
,"0","2.8333333333333335","25.11111111111111"
,"0","0","0"
,"0","0","0"
,"0.5","5.833333333333333","22.666666666666668"
,"0","0","0"
,"0","0","0"
,"0","3.9444444444444446","37.55555555555556"
,"0","0","0"
,"0","0","0"
,"0","1.8333333333333333","20.055555555555557"
,"0","0","0"
,"0","0","0"
,"1","8.555555555555555","31.166666666666668"
,"0","0","0"
,"0","0","0"
,"0.5","1.9444444444444444","28.166666666666668"
,"0","0","0"
,"0","0","0"
,"0.5","3.111111111111111","21.22222222222222"
,"0","0","0"
,"0","0","0"
,"0.5","10.166666666666666","25.38888888888889"
,"0","0","0"
,"0","0","0"
,"0.3333333333333333","5.277777777777778","26.555555555555557"
,"0","0","0"
,"0","0","0"
,"0.3333333333333333","3.4444444444444446","34.333333333333336"
,"0","0","0"
,"0","0","0"
,"0.5","9.055555555555555","32.5"
,"0","0","0"
,"0","0","0"
,"0","8.5","57"
,"0","0","0"
,"0","0","0"
,"0","1.5","22.5"
,"0","0","0"
,"0","0","0"
,"1","7.222222222222222","33.05555555555556"
,"0","0","0"
,"0","0","0"
,"0.5","7.388888888888889","28.72222222222222"
,"0","0","0"
,"0","0","0"
,"0.3333333333333333","2.111111111111111","37.72222222222222"
,"0","0","0"
,"0","0","0"
,"0.3333333333333333","4.888888888888889","36.666666666666664"
,"0","0","0"
,"0","0","0"
,"0.5","4.222222222222222","32.611111111111114"
,"0","0","0"
,"0","0","0"
,"0","10.944444444444445","28.88888888888889"
,"0","0","0"
,"0","0","0"
,"0","4.944444444444445","34.44444444444444"
,"0","0","0"
,"0","0","0"
,"0","3","34.333333333333336"
,"0","0","0"
,"0","0","0"
,"0.5","1.8888888888888888","19.555555555555557"
,"0","0","0"
,"0","0","0"
,"0","4.055555555555555","24.11111111111111"
,"0","0","0"
,"0","0","0"
,"0","2.6666666666666665","38.22222222222222"
,"0","0","0"
,"0","0","0"
,"0","5.277777777777778","20.27777777777778"
,"0","0","0"
,"0","0","0"
,"0","4.333333333333333","31.5"
,"0","0","0"
,"0","0","0"
,"0","1.8333333333333333","31.72222222222222"
,"0","0","0"
,"0","0","0"
,"0","4.111111111111111","31"
,"0","0","0"
,"0","0","0"
,"0","2.111111111111111","24.5"
,"0","0","0"
,"0","0","0"
,"0","2.5555555555555554","19"
,"0","0","0"
,"0","0","0"
,"0","5.5","27.22222222222222"
,"0","0","0"
,"0","0","0"
,"0","3.111111111111111","44.111111111111114"
,"0","0","0"
,"0","0","0"
,"0.5","9.61111111111111","47.333333333333336"
,"0","0","0"
,"0","0","0"
,"0","5.333333333333333","48.5"
,"0","0","0"
,"0","0","0"
,"1","5.333333333333333","24.444444444444443"
,"0","0","0"
,"0","0","0"
,"0","2.4444444444444446","43"
,"0","0","0"
,"0","0","0"
,"0.5","6.944444444444445","42.72222222222222"
,"0","0","0"
,"0","0","0"
,"0","10.88888888888889","35.72222222222222"
,"0","0","0"
,"0","0","0"
,"0","2.2222222222222223","22.27777777777778"
,"0","0","0"
,"0","0","0"
,"0","9.5","47.72222222222222"
,"0","0","0"
,"0","0","0"
,"0","2.4444444444444446","36"
,"0","0","0"
,"0","0","0"
,"0","4.166666666666667","20.72222222222222"
,"0","0","0"
,"0","0","0"
,"0","10.722222222222221","43.55555555555556"
,"0","0","0"
,"0","0","0"
,"0","2.111111111111111","57.611111111111114"
,"0","0","0"
,"0","0","0"
,"0","4.888888888888889","34.77777777777778"
,"0","0","0"
,"0","0","0"
,"0","5","54.111111111111114"
,"0","0","0"
,"0","0","0"
,"0","0.7222222222222222","31.27777777777778"
,"0","0","0"
,"0","0","0"
,"0.5","4.111111111111111","44.388888888888886"
,"0","0","0"
,"0","0","0"
,"0.3333333333333333","1.1666666666666667","34.44444444444444"
,"0","0","0"
,"0","0","0"
,"0","4.833333333333333","45.111111111111114"
,"0","0","0"
,"0","0","0"
,"0","11","28.11111111111111"
,"0","0","0"
,"0","0","0"
,"0","3.2777777777777777","27.055555555555557"
,"0","0","0"
,"0","0","0"
,"0.5","8.277777777777779","29"
,"0","0","0"
,"0","0","0"
,"0","3.888888888888889","42.72222222222222"
,"0","0","0"
,"0","0","0"
,"0","3.6666666666666665","53.666666666666664"
,"0","0","0"
,"0","0","0"
,"1","1.3888888888888888","53.44444444444444"
,"0","0","0"
,"0","0","0"
,"0","2.888888888888889","41"
,"0","0","0"
,"0","0","0"
,"0","6.944444444444445","28.5"
,"0","0","0"
,"0","0","0"
,"0","5.666666666666667","19.11111111111111"
,"0","0","0"
,"0","0","0"
,"1","1.5555555555555556","42.44444444444444"
,"0","0","0"
,"0","0","0"
,"0","1","42.333333333333336"
,"0","0","0"
,"0","0","0"
,"0","6.611111111111111","35.166666666666664"
,"0","0","0"
,"0","0","0"
,"0","3","32.05555555555556"
,"0","0","0"
,"0","0","0"
,"1","1.7777777777777777","37.72222222222222"
,"0","0","0"
,"0","0","0"
,"0","4","35.388888888888886"
,"0","0","0"
,"0","0","0"
,"0","15.11111111111111","43.111111111111114"
,"0","0","0"
,"0","0","0"
,"1","20.38888888888889","34.5"
,"0","0","0"
,"0","0","0"
,"0.5","1.8888888888888888","62"
,"0","0","0"
,"0","0","0"
,"0.3333333333333333","3.1666666666666665","33.611111111111114"
,"0","0","0"
,"0","0","0"
,"0","19.61111111111111","69.05555555555556"
,"0","0","0"
,"0","0","0"
,"1","2.5555555555555554","58.77777777777778"
,"0","0","0"
,"0","0","0"
,"0","2.2222222222222223","46.611111111111114"
,"0","0","0"
,"0","0","0"
,"1","2.5","31.5"
,"0","0","0"
,"0","0","0"
,"0","1.8333333333333333","42.94444444444444"
,"0","0","0"
,"0","0","0"
,"1","6.277777777777778","40.44444444444444"
,"0","0","0"
,"0","0","0"
,"0","1.7777777777777777","35.55555555555556"
,"0","0","0"
,"0","0","0"
,"0","2.111111111111111","42.22222222222222"
,"0","0","0"
,"0","0","0"
,"1","2.9444444444444446","40.888888888888886"
,"0","0","0"
,"0","0","0"
,"0","9","35.611111111111114"
,"0","0","0"
,"0","0","0"
,"0","4.388888888888889","25.61111111111111"
,"0","0","0"
,"0","0","0"
,"1","6.666666666666667","28.72222222222222"
,"0","0","0"
,"0","0","0"
,"0","9","35"
,"0","0","0"
,"0","0","0"
,"0","7.111111111111111","45.72222222222222"
,"0","0","0"
,"0","0","0"
,"0.5","8.166666666666666","38.22222222222222"
,"0","0","0"
,"0","0","0"
,"0","2.388888888888889","31.166666666666668"
,"0","0","0"
,"0","0","0"
,"0","7.611111111111111","40.22222222222222"
,"0","0","0"
,"0","0","0"
,"0","4.888888888888889","28.333333333333332"
,"0","0","0"
,"0","0","0"
,"0","3.1666666666666665","37"
,"0","0","0"
,"0","0","0"
,"0.5","2.5555555555555554","57.166666666666664"
,"0","0","0"
,"0","0","0"
,"0","2.7222222222222223","33.888888888888886"
,"0","0","0"
,"0","0","0"
,"0","7.944444444444445","35.05555555555556"
,"0","0","0"
,"0","0","0"
,"0","2.5","42"
,"0","0","0"
,"0","0","0"
,"0","4.333333333333333","34.77777777777778"
,"0","0","0"
,"0","0","0"
,"0","12.38888888888889","52.55555555555556"
,"0","0","0"
,"0","0","0"
,"0","3.1666666666666665","54.72222222222222"
,"0","0","0"
,"0","0","0"
,"0.5","1.5","29.944444444444443"
,"0","0","0"
,"0","0","0"
,"0","2.7222222222222223","59.166666666666664"
,"0","0","0"
,"0","0","0"
,"0.5","8.222222222222221","32.94444444444444"
,"0","0","0"
,"0","0","0"
,"0.5","2.5555555555555554","21.166666666666668"
,"0","0","0"
,"0","0","0"
,"0.5","5.833333333333333","36.611111111111114"
,"0","0","0"
,"0","0","0"
,"0","2.9444444444444446","41.611111111111114"
,"0","0","0"
,"0","0","0"
,"0","4.611111111111111","49.5"
,"0","0","0"
,"0","0","0"
,"0","1.9444444444444444","42.55555555555556"
,"0","0","0"
,"0","0","0"
,"1","6","31.61111111111111"
,"0","0","0"
,"0","0","0"
,"0","3.8333333333333335","48"
,"0","0","0"
,"0","0","0"
,"1","1.7222222222222223","36.333333333333336"
,"0","0","0"
,"0","0","0"
,"0.5","4.444444444444445","48.55555555555556"
,"0","0","0"
,"0","0","0"
,"0","2.388888888888889","40"
,"0","0","0"
,"0","0","0"
,"0.3333333333333333","5.277777777777778","35.888888888888886"
,"0","0","0"
,"0","0","0"
,"0","1.1666666666666667","39.77777777777778"
,"0","0","0"
,"0","0","0"
,"0","13.333333333333334","77.61111111111111"
,"0","0","0"
,"0","0","0"
,"0","2.388888888888889","28.27777777777778"
,"0","0","0"
,"0","0","0"
,"0","4.388888888888889","66.77777777777777"
,"0","0","0"
,"0","0","0"
,"0.5","3.1666666666666665","28.166666666666668"
,"0","0","0"
,"0","0","0"
,"0","2.3333333333333335","30.166666666666668"
,"0","0","0"
,"0","0","0"
,"0","4.055555555555555","64.88888888888889"
,"0","0","0"
,"0","0","0"
,"0","5.555555555555555","36.5"
,"0","0","0"
,"0","0","0"
,"0","3.5","24.333333333333332"
,"0","0","0"
,"0","0","0"
,"0","2.5555555555555554","27.72222222222222"
,"0","0","0"
,"0","0","0"
,"0","7.388888888888889","32.44444444444444"
,"0","0","0"
,"0","0","0"
,"0","10.722222222222221","41.55555555555556"
,"0","0","0"
,"0","0","0"
,"0","3.5555555555555554","46.22222222222222"
,"0","0","0"
,"0","0","0"
,"0","9.166666666666666","36"
,"0","0","0"
,"0","0","0"
,"0","2.7222222222222223","48.166666666666664"
,"0","0","0"
,"0","0","0"
,"1","3.7222222222222223","48.333333333333336"
,"0","0","0"
,"0","0","0"
,"0","4.777777777777778","54.55555555555556"
,"0","0","0"
,"0","0","0"
,"0","16.944444444444443","55.22222222222222"
,"0","0","0"
,"0","0","0"
,"0","8.944444444444445","58.5"
,"0","0","0"
,"0","0","0"
,"0","1.7222222222222223","76.55555555555556"
,"0","0","0"
,"0","0","0"
,"0.5","1.7222222222222223","52.888888888888886"
,"0","0","0"
,"0","0","0"
,"0.5","3.3333333333333335","66"
,"0","0","0"
,"0","0","0"
,"0.3333333333333333","2.6666666666666665","46"
,"0","0","0"
,"0","0","0"
,"0","3.7777777777777777","56.111111111111114"
,"0","0","0"
,"0","0","0"
,"0","5.833333333333333","52.833333333333336"
,"0","0","0"
,"0","0","0"
,"0.5","8.222222222222221","37.888888888888886"
,"0","0","0"
,"0","0","0"
,"0","5.888888888888889","38.166666666666664"
,"0","0","0"
,"0","0","0"
,"0","2.5","63.111111111111114"
,"0","0","0"
,"0","0","0"
,"0.5","8.555555555555555","32.27777777777778"
,"0","0","0"
,"0","0","0"
,"0","5.388888888888889","73.61111111111111"
,"0","0","0"
,"0","0","0"
,"0","0.8333333333333334","46.333333333333336"
,"0","0","0"
,"0","0","0"
,"0","5.333333333333333","39.5"
,"0","0","0"
,"0","0","0"
,"1","3.0555555555555554","21.444444444444443"
,"0","0","0"
,"0","0","0"
,"0.3333333333333333","2.9444444444444446","21.833333333333332"
,"0","0","0"
,"0","0","0"
,"0","3.6666666666666665","60.611111111111114"
,"0","0","0"
,"0","0","0"
,"1","4.555555555555555","54.77777777777778"
,"0","0","0"
,"0","0","0"
,"0","5.444444444444445","29.38888888888889"
,"0","0","0"
,"0","0","0"
,"0","1.5","34.388888888888886"
,"0","0","0"
,"0","0","0"
,"0.5","6.222222222222222","30.61111111111111"
,"0","0","0"
,"0","0","0"
,"0","3.3333333333333335","60.5"
,"0","0","0"
,"0","0","0"
,"0","2.5555555555555554","39.05555555555556"
,"0","0","0"
,"0","0","0"
,"0","1.7222222222222223","48.05555555555556"
,"0","0","0"
,"0","0","0"
,"0","23.61111111111111","28.444444444444443"
,"0","0","0"
,"0","0","0"
,"0.5","2.5","29.055555555555557"
,"0","0","0"
,"0","0","0"
,"0","2.6666666666666665","36.666666666666664"
,"0","0","0"
,"0","0","0"
,"0","2.5555555555555554","42.72222222222222"
,"0","0","0"
,"0","0","0"
,"1","2.7777777777777777","22.11111111111111"
,"0","0","0"
,"0","0","0"
,"0.3333333333333333","3.6666666666666665","54.5"
,"0","0","0"
,"0","0","0"
,"0","10.222222222222221","30.61111111111111"
,"0","0","0"
,"0","0","0"
,"0","2","61.05555555555556"
,"0","0","0"
,"0","0","0"
,"0","15.222222222222221","48.388888888888886"
,"0","0","0"
,"0","0","0"
,"0","4.111111111111111","24.88888888888889"
,"0","0","0"
,"0","0","0"
,"0","3.2222222222222223","33.388888888888886"
,"0","0","0"
,"0","0","0"
,"0","3.0555555555555554","30.77777777777778"
,"0","0","0"
,"0","0","0"
,"0","9.055555555555555","33.27777777777778"
,"0","0","0"
,"0","0","0"
,"0","4.111111111111111","40.5"
,"0","0","0"
,"0","0","0"
,"0","3","42.888888888888886"
,"0","0","0"
,"0","0","0"
,"1","2.5555555555555554","54.111111111111114"
,"0","0","0"
,"0","0","0"
,"0","1.7777777777777777","32.5"
,"0","0","0"
,"0","0","0"
,"0","3.111111111111111","49.44444444444444"
,"0","0","0"
,"0","0","0"
,"1","2.611111111111111","38.5"
,"0","0","0"
,"0","0","0"
,"0","1.8888888888888888","37.72222222222222"
,"0","0","0"
,"0","0","0"
,"0","1.6111111111111112","60.55555555555556"
,"0","0","0"
,"0","0","0"
,"0","21.555555555555557","42.22222222222222"
,"0","0","0"
,"0","0","0"
,"1","4.333333333333333","59.77777777777778"
,"0","0","0"
,"0","0","0"
,"0","1.7222222222222223","43.888888888888886"
,"0","0","0"
,"0","0","0"
,"0","3.388888888888889","45.44444444444444"
,"0","0","0"
,"0","0","0"
,"0","5.388888888888889","58.666666666666664"
,"0","0","0"
,"0","0","0"
,"0.5","12.222222222222221","26.27777777777778"
,"0","0","0"
,"0","0","0"
,"0","2.1666666666666665","25.88888888888889"
,"0","0","0"
,"0","0","0"
,"0","4","35.666666666666664"
,"0","0","0"
,"0","0","0"
,"0","3.3333333333333335","39.94444444444444"
,"0","0","0"
,"0","0","0"
,"0","1.8333333333333333","61.94444444444444"
,"0","0","0"
